"CompÈtition RÈgionale de Slalom - Saint-pierre De Boeuf - Course n∞1 | Finale - 2015-10-10","Course n∞1 | Finale","2015-10-10","RÈgional","365"
"Hughes Faivre D'arcier","K1H","218.95","-","1599.4","Course n∞1 | Finale B"
"Benjamin Gonthier","K1H","238.53","854.75","1826.77","Course n∞1 | Finale B"
"Corentin Sabaut","K1H","309.24","-","2647.86","Course n∞1 | Finale B"
"Holger Neupert","K1H","344.36","-","3055.68","Course n∞1 | Finale B"
"Charles Coulon","K1H","345.38","-","3067.53","Course n∞1 | Finale B"
"Axel Kournwsky","K1H","Abs","-","-","Course n∞1 | Finale B"
"Louis Burignat","K1H","Abd","-","-","Course n∞1 | Finale B"
"Loœc Winiarski","K1HM","114.98","-","-","Course n∞1 | Finale B"
"Alexandre Goujon","K1HM","130.44","554.85","571.6","Course n∞1 | Finale B"
"Arthur Viallard","K1HM","137.2","-","650.1","Course n∞1 | Finale B"
"Raphael Massot","K1HM","141.46","-","-","Course n∞1 | Finale B"
"Erwann Buthod","K1HM","156.07","-","-","Course n∞1 | Finale B"
"Julien Lambert","K1HM","158.35","-","-","Course n∞1 | Finale B"
"Ronan Emery","K1HM","158.73","-","900.11","Course n∞1 | Finale B"
"Aymeric Fumex","K1HM","159","-","-","Course n∞1 | Finale B"
"Aloœs Cretier","K1HM","162.56","1208.16","944.59","Course n∞1 | Finale B"
"Charles Culine","K1HM","169.43","-","1024.36","Course n∞1 | Finale B"
"Simon Louchard","K1HM","182.38","-","1174.74","Course n∞1 | Finale B"
"Sander Duvillard","K1HM","189.87","-","1261.72","Course n∞1 | Finale B"
"Antonin Dustou","K1HM","190.64","1318.1","1270.66","Course n∞1 | Finale B"
"Kilian Cottet","K1HM","195.84","-","-","Course n∞1 | Finale B"
"Yanniss Aghanine","K1HM","366.87","-","3317.08","Course n∞1 | Finale B"
"Valentin Capel","K1HM","542.91","-","5361.29","Course n∞1 | Finale B"
"Florent Vallier","K1HM","Abd","-","-","Course n∞1 | Finale B"
